::1 - - [31/Mar/2023:18:04:08 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 1989
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:04:08 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:04:48 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:04:48 +0100] "GET /css/tree.css HTTP/1.1" 200 1084
::1 - - [31/Mar/2023:18:05:01 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:05:02 +0100] "GET /css/tree.css HTTP/1.1" 200 1084
::1 - - [31/Mar/2023:18:05:13 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:05:13 +0100] "GET /css/tree.css HTTP/1.1" 200 1085
::1 - - [31/Mar/2023:18:05:21 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:05:21 +0100] "GET /css/tree.css HTTP/1.1" 200 1084
::1 - - [31/Mar/2023:18:05:45 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:05:45 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:09:45 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:09:45 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:09:56 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /css/tree.css HTTP/1.1" 200 1089
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
